relative_path,physical_filename,sha256,file_size,file_type,declared_title,declared_filename,declared_version,declared_date,declared_owner,declared_status,duplicate_of,filename_mismatch
docs/source/inbox/CODEOWNERS,CODEOWNERS,ff0cbefdff54c3394f378d9b1da071988db735364dabfdf95db3eafa0a15b216,2479,application/octet-stream,KitLuy Suite CODEOWNERS,,,,,,,
docs/source/inbox/CONTRIBUTING.md,CONTRIBUTING.md,98f0734b85369d71f00b296e51a8cc634e29199068c0da607553b4ee1cc41522,4644,text/markdown,Contributing to KitLuy Suite,,,,,,,
docs/source/inbox/PACKAGE_MANIFEST.txt,PACKAGE_MANIFEST.txt,638835125654edca55682b5c1720c7c53dcda5ac8d6435b7e006c3d1f5c40d6f,606,text/plain,,,,,,,,
docs/source/inbox/SECURITY.md,SECURITY.md,c8e3b53a2af856f4cd2ab4e7fc60ee1bd54d4a2537b8876276bfde567fb7f1df,4211,text/markdown,KitLuy Suite Security Policy,,,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_ACTIVE_PHASE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_ACTIVE_PHASE.md,54a55acab42f0d50c4e6909adbe156912078a15513b89959f0b9f85d5b8786a0,5183,text/markdown,KitLuy Active Phase and Scope Fence,,1.0.0,,,owner-locked roadmap position,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_BLOCKERS.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_BLOCKERS.md,62eb8cd4ffa1abb4e7fdc7e3a4b0c9cb078db9d72457db230bce0a3277260b63,3720,text/markdown,KitLuy Blockers and Required Decisions,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_CURRENT_STATE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_CURRENT_STATE.md,b1a24d0c4517f54842c461f615ca17d5ca55b2e76246dd1d2f48ac71092c3695,5028,text/markdown,KitLuy Current Repository State,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_INDEX.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/000_INDEX.md,41c29a2b8d8a5ea6d624d6736dd005f9ff57cc15ffd220f557bfff86cc05fbad,4265,text/markdown,KitLuy AI Handoff Index,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/CONFLICT_TEMPLATE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/CONFLICT_TEMPLATE.md,39e98c3ee97ab6b452142443e403a44e345577c032bd8c9c8b3a97eaf6cbf982,2097,text/markdown,KitLuy Documentation / Code Conflict Report,,1.0.0,,decision/instruction,OPEN,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/EVIDENCE_TEMPLATE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/EVIDENCE_TEMPLATE.md,6006cbd5a8fd67250d4d2fbffbe0d7c5e668886ea12f4ffe7d63c3098f132ff4,3998,text/markdown,KitLuy Test and Deployment Evidence Record,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/HANDOFF_TEMPLATE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/HANDOFF_TEMPLATE.md,bfac5a07789e1759c94a025a75448b5c1dfe1085a830da1ecac19840ad3f0b1b,2732,text/markdown,KitLuy Task Handoff,,1.0.0,,,HANDOFF_READY,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/REVIEW_TEMPLATE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/REVIEW_TEMPLATE.md,c62e88368d3f2a91a3d9a76ee057d96942380cb6128260a15b2c6367372d32ec,3392,text/markdown,KitLuy Independent Review Record,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/ROLLBACK_TEMPLATE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/ROLLBACK_TEMPLATE.md,93d70e4613c0c4fcbbd2bcb1a85a3d1e9e4105d9c8bf84b28891e6ff193f744e,2680,text/markdown,KitLuy Change Rollback / Forward-Fix Record,,1.0.0,,/operator,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/TASK_TEMPLATE.md,kitluy-ai-swarm-operating-system-v1.0.0/00_AI_HANDOFF/TASK_TEMPLATE.md,2b47c9adb18f1d3afb82fd1f9e5f2a053da77dfb24d306e4fced67044526f38f,6185,text/markdown,KitLuy Work Package,,1.0.0,,,DRAFT,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/AGENTS.md,kitluy-ai-swarm-operating-system-v1.0.0/AGENTS.md,5403bf7b4c88c3d8686d5a8f821c477a2a739f5d19afd8588a364813b2da8f03,10744,text/markdown,KitLuy Suite Agent Operating Contract,,1.0.0,,,repository-root control document,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/AI_SWARM_PACK_MANIFEST.md,kitluy-ai-swarm-operating-system-v1.0.0/AI_SWARM_PACK_MANIFEST.md,e3084ebdbe47b7503c0c988fd3204ef439e8e679b777101df18704ca69605ff3,2306,text/markdown,KitLuy AI Swarm Operating System — Delivery Manifest,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/CLAUDE.md,kitluy-ai-swarm-operating-system-v1.0.0/CLAUDE.md,2441cec5b7f86f766f66eeeaa9243dcea56893126e30ad3a4950aa7827e798ba,4332,text/markdown,Claude Code Instructions — KitLuy Suite,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/CONTRIBUTING.md,kitluy-ai-swarm-operating-system-v1.0.0/CONTRIBUTING.md,256eed0624b75c4e4f18c40ba47d07b61c118c7bd92ebcae30aa1e8314261061,5031,text/markdown,Contributing to KitLuy Suite,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/KIMI.md,kitluy-ai-swarm-operating-system-v1.0.0/KIMI.md,9677051236f62e1563f973d1a5bb718641f40b169d8dad045edd6487d49bc51a,5766,text/markdown,KIMI Swarm Instructions — KitLuy Suite,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/PROJECT_HOME.md,kitluy-ai-swarm-operating-system-v1.0.0/PROJECT_HOME.md,d388599447b7271bbba8a8bb723fcaf8cb6793463f30c94dcde68b54e8ac4e60,5322,text/markdown,KitLuy Suite — Project Home,,1.0.0,,,,,
docs/source/inbox/kitluy-ai-swarm-operating-system-v1.0.0/SECURITY.md,kitluy-ai-swarm-operating-system-v1.0.0/SECURITY.md,2ee6a72b55e3fb57e8f1bd9bf34929146c817426f56f207bbfd6efe8b010da6b,6419,text/markdown,KitLuy Suite Security Policy for Repository Work,,1.0.0,,,,,
docs/source/inbox/kitluy-backup-and-disaster-recovery-v1.0.0.md,kitluy-backup-and-disaster-recovery-v1.0.0.md,fb7d4d519dd28dfd47a2ba28566e1f2f9370566f8ec1fd94929574163b571e64,10552,text/markdown,KitLuy Backup and Disaster Recovery,kitluy-backup-and-disaster-recovery-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-branching-commit-and-pull-request-policy-v1.0.0.md,kitluy-branching-commit-and-pull-request-policy-v1.0.0.md,b28686bd6ad4f38dfe756edf7da1942101627177b576af70138374d0fa70c8b9,4750,text/markdown,"KitLuy Branching, Commit and Pull Request Policy",,1.0.0,,,,,
